name,column_count,grid_width,grid_height
2단-통,5,5,2
2단-통,6,6,2
2단-통,7,7,2
3단-통,5,5,3
3단-통,6,6,3
3단-통,7,7,3
4단-통,5,5,4
4단-통,6,6,4
4단-통,7,7,4
5단-16,6,3,5
5단-통,5,5,5
5단-통,6,6,5
5단-통,7,7,5
5단-프릿지,6,12,5
5단-프릿지,7,14,5
6단-통,5,5,6
6단-통,6,6,6
6단-통,7,7,6
6단-프릿지,6,12,6
6단-프릿지,7,14,6
7단-15,7,3,7
7단-27,7,4,7
7단-통,7,5,7
7단-프릿지,6,12,7
7단-프릿지,7,14,7
7.5단-통,6,6,7.5
7.5단-통,7,7,7.5
7.5단-프릿지,6,12,7.5
7.5단-프릿지,7,14,7.5
8단-15,7,3,8
8단-27,7,4,8
8단-프릿지,6,12,8
8단-프릿지,7,14,8
10단-통,5,5,10
10단-통,6,6,10
10단-통,7,7,10
10단-프릿지,6,12,10
10단-프릿지,7,14,10
15단-10,7,2,15
15단-12,6,2,15
15단-15,7,3,15
15단-18,6,3,15
15단-전면,6,6,15
15단-전면,7,7,15
15단-양면,6,6,15
15단-양면,7,7,15
